timestamp,open,high,low,close,volume,delta,delta_pct,cvd,whale_buy_pct,whale_sell_pct,rejection_bot,rejection_top,candle_type
2025-04-07 16:00:00,78479.91,78497.55,77634.0,78329.99,74054153.7291,-6849151.5024,-0.0925,-1660861760.4061,0.3419,0.4118,0.1023,0.3379,Continuação
2025-04-07 16:30:00,78329.99,78584.21,77313.2,77434.01,98396966.2,-29241793.6128,-0.2972,-1690103554.0189,0.2553,0.4994,0.1855,0.2134,Continuação
2025-04-07 17:00:00,77434.01,78612.29,77434.0,78571.99,127182271.8851,9215624.7924,0.0725,-1680887929.2265,0.3905,0.3415,0.0414,0.277,Continuação
2025-04-07 17:30:00,78571.99,79200.0,78291.09,79074.5,134128828.637,20802804.3571,0.1551,-1660085124.8694,0.4528,0.291,0.0952,0.3736,Continuação
2025-04-07 18:00:00,79076.08,79365.46,78566.58,78629.92,86593758.5204,-4166403.3778,-0.0481,-1664251528.2472,0.3428,0.3947,0.1182,0.1532,Continuação
2025-04-07 18:30:00,78629.98,79132.61,78277.77,78484.91,56783590.6947,-1798599.0575,-0.0317,-1666050127.3047,0.3548,0.3935,0.1015,0.1671,Continuação
2025-04-07 19:00:00,78484.91,78961.92,78193.97,78284.26,55301347.193,-3061641.4177,-0.0554,-1669111768.7223,0.3644,0.4068,0.2597,0.1113,Continuação
2025-04-07 19:30:00,78284.27,78904.5,78019.9,78130.44,60313867.2345,-1653834.0772,-0.0274,-1670765602.7996,0.3806,0.3835,0.4488,0.2072,Continuação
2025-04-07 20:00:00,78130.43,78694.76,78102.91,78689.45,36501156.942,7404858.96,0.2029,-1663360743.8396,0.4553,0.2864,0.1354,0.3979,Continuação
2025-04-07 20:30:00,78689.46,79128.82,78689.46,78955.26,25537712.9106,5282320.9677,0.2068,-1658078422.8718,0.5161,0.2957,0.0448,0.2115,Continuação
2025-04-07 21:00:00,78955.26,79241.0,78684.22,78962.51,53916528.8243,-7489803.2537,-0.1389,-1665568226.1255,0.3435,0.4206,0.1874,0.3126,Continuação
2025-04-07 21:30:00,78962.51,79591.92,78830.18,79239.42,24914917.5613,966942.8175,0.0388,-1664601283.3081,0.4244,0.3444,0.3152,0.3444,Continuação
2025-04-07 22:00:00,79239.41,79850.0,79182.6,79807.5,42323144.755,2782022.7713,0.0657,-1661819260.5367,0.4138,0.3393,0.1095,0.2609,Continuação
2025-04-07 22:30:00,79807.51,80218.88,79694.12,79956.47,53068467.8224,2217014.9343,0.0418,-1659602245.6024,0.4307,0.3536,0.1418,0.2403,Continuação
2025-04-07 23:00:00,79956.47,80083.99,79645.06,79872.82,48738309.4119,5373393.2598,0.1102,-1654228852.3426,0.4264,0.3078,0.3856,0.0384,Continuação
2025-04-07 23:30:00,79872.82,79911.73,79090.9,79163.24,75710495.9499,-5684886.1258,-0.0751,-1659913738.4685,0.349,0.3873,0.2938,0.276,Continuação
